,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
totalAssets,29097000000,29345000000,27743000000,22650000000,21829000000
totalCurrentAssets,3069000000,3540000000,6209000000,2645000000,2694000000
cashAndCashEquivalentsAtCarryingValue,118000000,553000000,3561000,61000000,22000000
cashAndShortTermInvestments,118000000,867000000,3938000000,61000000,22000000
inventory,135000000,124000000,106000000,102000000,96000000
currentNetReceivables,2546000000,2624000000,1949000000,1931000000,1805000000
totalNonCurrentAssets,27178000000,26657000000,22332000000,20005000000,19205000000
propertyPlantEquipment,34592000000,33099000000,12893000000,11942000000,11559000000
accumulatedDepreciationAmortizationPPE,20537000000,19337000000,18657000000,18264000000,17704000000
intangibleAssets,9926000000,10018000000,7053000000,7002000000,6794000000
intangibleAssetsExcludingGoodwill,898000000,1024000000,521000000,572000000,547000000
goodwill,9028000000,8994000000,6532000000,6430000000,6247000000
investments,432000000,740000000,860000000,406000000,269000000
longTermInvestments,767000000,426000000,483000000,406000000,269000000
shortTermInvestments,None,314000000,377000000,257000000,None
otherCurrentAssets,270000000,239000000,223000000,207000000,202000000
otherNonCurrentAssets,903000000,866000000,792000000,359000000,264000000
totalLiabilities,21971000000,21891000000,20673000000,16374000000,15787000000
totalCurrentLiabilities,4082000000,3553000000,3144000000,3108000000,3262000000
currentAccountsPayable,1375000000,1121000000,1065000000,1037000000,1040000000
deferredRevenue,571000000,539000000,534000000,522000000,503000000
currentDebt,708000000,551000000,218000000,432000000,739000000
shortTermDebt,661000000,501000000,103000000,432000000,739000000
totalNonCurrentLiabilities,18348000000,18791000000,17529000000,13266000000,12525000000
capitalLeaseObligations,291000000,314000000,323000000,None,None
longTermDebt,13499000000,13902000000,13594000000,9594000000,8752000000
currentLongTermDebt,708000000,551000000,79000000,432000000,739000000
longTermDebtNoncurrent,None,None,None,None,None
shortLongTermDebtTotal,13499000000,13902000000,13594000000,-52000000,-56000000
otherCurrentLiabilities,1428000000,1342000000,1327000000,1117000000,980000000
otherNonCurrentLiabilities,1125000000,1051000000,912000000,553000000,755000000
totalShareholderEquity,7124000000,7452000000,7068000000,6275000000,6019000000
treasuryStock,10072000000,8881000000,8571000000,8434000000,7516000000
retainedEarnings,12004000000,11159000000,10592000000,9797000000,8588000000
commonStock,6000000,6000000,6000000,6000000,6000000
commonStockSharesOutstanding,416100000,422800000,424300000,424000000,433300000
