,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
grossProfit,126928000000,102560000000,67626000000,65283000000,51222000000
totalRevenue,467958000000,384452000000,278902000000,231264000000,177265000000
costOfRevenue,341030000000,281892000000,211276000000,165981000000,126043000000
costofGoodsAndServicesSold,272344000000,233307000000,165536000000,139156000000,111934000000
operatingIncome,24879000000,22899000000,14541000000,12421000000,4106000000
sellingGeneralAndAdministrative,58274000000,39576000000,35081000000,26350000000,13743000000
researchAndDevelopment,56052000000,42740000000,35931000000,28837000000,22620000000
operatingExpenses,69686000000,49985000000,46941000000,27999000000,14949000000
investmentIncomeNet,448000000,555000000,832000000,440000000,202000000
netInterestIncome,-1809000000,-1647000000,-1600000000,-1417000000,-848000000
interestIncome,448000000,555000000,832000000,440000000,202000000
interestExpense,1809000000,1647000000,1600000000,1417000000,848000000
nonInterestIncome,469767000000,386099000000,280502000000,232681000000,247000000
otherNonOperatingIncome,14633000000,2371000000,203000000,-183000000,346000000
depreciation,22900000000,16200000000,15100000000,12138000000,8800000000
depreciationAndAmortization,10412000000,9009000000,10659000000,475000000,366000000
incomeBeforeTax,38164000000,24231000000,13988000000,11270000000,3802000000
incomeTaxExpense,4800000000,2900000000,2400000000,1197000000,769000000
interestAndDebtExpense,1809000000,1647000000,1600000000,1417000000,848000000
netIncomeFromContinuingOperations,33355000000,21331000000,11588000000,10073000000,3033000000
comprehensiveIncomeNetOfTax,32168000000,22137000000,11637000000,9526000000,3534000000
ebit,39973000000,25878000000,15588000000,12687000000,4650000000
ebitda,50385000000,34887000000,26247000000,13162000000,5016000000
netIncome,33364000000,21331000000,11588000000,10073000000,3033000000
