,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
totalAssets,29841000000,30128000000,29219000000,29097000000,28841000000,29037000000,29070000000,29345000000,24772000000,26619000000,27178000000,27743000000,27109000000,25986000000,23373000000,22650000000,22591000000,22014000000,22106000000,21829000000
totalCurrentAssets,3264000000,3987000000,3059000000,3069000000,3184000000,3226000000,3327000000,3540000000,3357000000,5106000000,5635000000,6209000000,5560000000,4836000000,2488000000,2645000000,2675000000,2471000000,2491000000,2694000000
cashAndCashEquivalentsAtCarryingValue,137000000,894000000,155000000,118000000,116000000,148000000,476000000,553000000,703000000,2663000000,3125000000,3561000,2915000000,2250000000,57000000,61000000,83000000,47000000,52000000,22000000
cashAndShortTermInvestments,137000000,894000000,155000000,118000000,116000000,148000000,476000000,867000000,703000000,2663000000,3125000000,3938000,2915000000,2250000000,57000000,61000000,83000000,47000000,52000000,22000000
inventory,159000000,159000000,149000000,135000000,132000000,126000000,124000000,124000000,117000000,118000000,116000000,106000000,109000000,104000000,105000000,102000000,103000000,100000000,98000000,96000000
currentNetReceivables,2676000000,2665000000,2479000000,2546000000,2669000000,2645000000,2427000000,2624000000,2217000000,2107000000,2662000000,1949000000,2010000000,2017000000,1830000000,1931000000,1943000000,1838000000,1700000000,1805000000
totalNonCurrentAssets,26577000000,26141000000,26160000000,27178000000,73000000,93000000,70000000,26657000000,68000000,21513000000,21543000000,22332000000,22355000000,21877000000,20885000000,20005000000,19916000000,19543000000,19615000000,19205000000
propertyPlantEquipment,36180000000,35509000000,35216000000,34592000000,34434000000,34105000000,33685000000,33099000000,32112000000,12917000000,12900000000,12893000000,12805000000,12665000000,12390000000,11942000000,11815000000,11625000000,11637000000,11559000000
accumulatedDepreciationAmortizationPPE,21438000000,21127000000,20918000000,20537000000,20351000000,19995000000,19647000000,19337000000,19266000000,19031000000,18763000000,18657000000,18499000000,18619000000,18355000000,18264000000,18174000000,18050000000,17860000000,17704000000
intangibleAssets,9939000000,9856000000,9902000000,9926000000,9925000000,9948000000,9970000000,10018000000,6954000000,6984000000,6992000000,7053000000,7093000000,7059000000,7049000000,7002000000,6944000000,6899000000,6924000000,6794000000
intangibleAssetsExcludingGoodwill,847000000,834000000,868000000,898000000,919000000,956000000,990000000,1024000000,450000000,472000000,494000000,521000000,543000000,547000000,570000000,572000000,554000000,553000000,597000000,547000000
