,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
operatingCashflow,4338000000,3403000000,3874000000,3570000000,3180000000
paymentsForOperatingActivities,457000000,552000000,484000000,339000000,380000000
proceedsFromOperatingActivities,None,None,None,None,None
changeInOperatingLiabilities,223000000,-40000000,221000000,168000000,121000000
changeInOperatingAssets,5000000,-63000000,13000000,30000000,16000000
depreciationDepletionAndAmortization,1999000000,1671000000,1574000000,1477000000,1376000000
capitalExpenditures,1904000000,1632000000,1818000000,1694000000,1509000000
changeInReceivables,28000000,-179000000,-53000000,-16000000,-271000000
changeInInventory,None,None,None,None,None
profitLoss,1817000000,1496000000,1671000000,1923000000,1949000000
cashflowFromInvestment,-1894000000,-4847000000,-2376000000,-2169000000,-1620000000
cashflowFromFinancing,-2900000000,-1559000000,1964000000,-1508000000,-1361000000
proceedsFromRepaymentsOfShortTermDebt,None,1808000000,-1001000000,453000000,513000000
paymentsForRepurchaseOfCommonStock,1350000000,402000000,248000000,1004000000,750000000
paymentsForRepurchaseOfEquity,1350000000,402000000,248000000,1004000000,750000000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None
dividendPayout,970000000,927000000,876000000,802000000,750000000
dividendPayoutCommonStock,970000000,927000000,876000000,802000000,750000000
dividendPayoutPreferredStock,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,7948000000,9420000000,13237000000,359000000,1479000000
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None
proceedsFromRepurchaseOfEquity,-1284000000,-339000000,-181000000,-952000000,-655000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None
changeInCashAndCashEquivalents,-456000000,-3003000000,3462000000,-107000000,-10000000
changeInExchangeRate,None,None,None,None,None
netIncome,1816000000,1496000000,1670000000,1925000000,1949000000
