,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
operatingCashflow,1182000000,1047000000,1258000000,991000000,1184000000,1043000000,1120000000,753000000,1029000000,856000000,765000000,1022000000,952000000,1010000000,890000000,912000000,874000000,975000000,809000000,792000000
paymentsForOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,418000000,22000000,None,None,None,None,None,None,None
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,75000000,146000000,104000000,-176000000,10000000,215000000,-2000000,28000000,103000000,-48000000,-123000000,-5000000,13000000,244000000,-117000000,26000000,-27000000,150000000,-119000000,16000000
changeInOperatingAssets,38000000,-11000000,1000000,2000000,-10000000,19000000,-6000000,-69000000,19000000,-22000000,9000000,-32000000,44000000,-11000000,12000000,5000000,14000000,2000000,9000000,-9000000
depreciationDepletionAndAmortization,503000000,508000000,482000000,510000000,517000000,500000000,472000000,436000000,419000000,414000000,402000000,395000000,404000000,409000000,366000000,370000000,376000000,384000000,347000000,342000000
capitalExpenditures,757000000,550000000,418000000,774000000,464000000,396000000,270000000,394000000,343000000,436000000,459000000,286000000,483000000,578000000,471000000,454000000,404000000,436000000,400000000,528000000
changeInReceivables,-13000000,-181000000,93000000,84000000,-32000000,-223000000,199000000,-255000000,-109000000,58000000,127000000,-51000000,-21000000,-193000000,212000000,-59000000,-159000000,19000000,183000000,-383000000
changeInInventory,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
profitLoss,639000000,587000000,514000000,506000000,539000000,351000000,421000000,438000000,390000000,307000000,361000000,447000000,495000000,382000000,347000000,531000000,498000000,499000000,395000000,903000000
cashflowFromInvestment,-936000000,-528000000,-572000000,-788000000,-398000000,-374000000,-334000000,-3606000000,-323000000,-415000000,-503000000,-280000000,-531000000,-765000000,-800000000,-663000000,-496000000,-373000000,-637000000,-570000000
cashflowFromFinancing,-984000000,228000000,-635000000,-214000000,-876000000,-980000000,-830000000,2685000000,-2669000000,-907000000,-668000000,-116000000,258000000,1780000000,42000000,-493000000,-368000000,-609000000,-38000000,-30000000
proceedsFromRepaymentsOfShortTermDebt,0,0,0,0,0,0,-280000000,1211000000,0,0,0,0,0,-1358000000,357000000,-70000000,80000000,-28000000,471000000,12000000
paymentsForRepurchaseOfCommonStock,541000000,270000000,250000000,350000000,500000000,250000000,250000000,0,0,0,402000000,0,0,180000000,68000000,254000000,200000000,300000000,250000000,0
paymentsForRepurchaseOfEquity,541000000,270000000,250000000,350000000,500000000,250000000,250000000,0,0,0,402000000,0,0,180000000,68000000,254000000,200000000,300000000,250000000,0
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
dividendPayout,267000000,269000000,275000000,240000000,241000000,242000000,247000000,231000000,230000000,230000000,236000000,218000000,218000000,217000000,223000000,197000000,199000000,200000000,206000000,184000000
dividendPayoutCommonStock,267000000,269000000,275000000,240000000,241000000,242000000,247000000,231000000,230000000,230000000,236000000,218000000,218000000,217000000,223000000,197000000,199000000,200000000,206000000,184000000
dividendPayoutPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,556000000,2998000000,2362000000,1520000000,4721000000,0,0,6770000000,0,0,0,8679000000,587000000,0,0,185000000,91000000,22000000,0,1282000000
proceedsFromIssuanceOfPreferredStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
proceedsFromRepurchaseOfEquity,-523000000,-258000000,-241000000,-344000000,-481000000,-226000000,-233000000,14000000,7000000,11000000,-371000000,7000000,15000000,-160000000,-43000000,-247000000,-188000000,-290000000,-227000000,3000000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
changeInCashAndCashEquivalents,-738000000,1095000000,51000000,-11000000,1066000000,851000000,-44000000,-168000000,809000000,721000000,-406000000,447000000,912000000,791000000,132000000,531000000,847000000,883000000,134000000,-13000000
changeInExchangeRate,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netIncome,639000000,587000000,513000000,506000000,538000000,351000000,421000000,438000000,390000000,307000000,361000000,447000000,495000000,381000000,347000000,531000000,499000000,499000000,396000000,903000000
