,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
grossProfit,1445000000,1398000000,1243000000,670000000,1289000000,1071000000,1116000000,379000000,1054000000,941000000,954000000,3809000000,1138000000,1028000000,966000000,3834000000,1103000000,1060000000,929000000,3618000000
totalRevenue,5075000000,5027000000,4665000000,4299000000,4665000000,4256000000,4121000000,3592000000,3809000000,3561000000,3732000000,3846000000,3966000000,3862000000,3698000000,3842000000,3822000000,3739000000,3511000000,3652000000
costOfRevenue,3630000000,3629000000,3422000000,3629000000,3376000000,3185000000,3005000000,3213000000,2755000000,2620000000,2778000000,37000000,2828000000,2834000000,2732000000,8000000,2719000000,2679000000,2582000000,34000000
costofGoodsAndServicesSold,3156000000,3142000000,2903000000,2955000000,2906000000,2736000000,2514000000,2500000000,2332000000,2180000000,2329000000,2314000000,2441000000,2443000000,2298000000,2379000000,2373000000,2313000000,2184000000,2263000000
operatingIncome,942000000,890000000,768000000,718000000,806000000,791000000,650000000,654000000,680000000,527000000,573000000,655000000,734000000,696000000,621000000,767000000,699000000,715000000,608000000,704000000
sellingGeneralAndAdministrative,473000000,487000000,491000000,492000000,469000000,445000000,458000000,510000000,416000000,377000000,425000000,445000000,386000000,391000000,409000000,370000000,345000000,365000000,373000000,369000000
researchAndDevelopment,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
operatingExpenses,474000000,487000000,515000000,681000000,435000000,449000000,483000000,701000000,423000000,440000000,460000000,37000000,387000000,391000000,442000000,8000000,346000000,366000000,405000000,34000000
investmentIncomeNet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
netInterestIncome,-91000000,-93000000,-85000000,-83000000,-87000000,-98000000,-97000000,-97000000,-97000000,-119000000,-112000000,-110000000,-105000000,-100000000,-96000000,None,None,None,None,None
interestIncome,108000000,110000000,100000000,85000000,101000000,109000000,106000000,109000000,113000000,133000000,131000000,126000000,119000000,116000000,105000000,None,None,None,None,None
interestExpense,91000000,93000000,85000000,83000000,87000000,98000000,97000000,97000000,97000000,119000000,112000000,110000000,105000000,100000000,96000000,97000000,93000000,93000000,91000000,91000000
nonInterestIncome,5075000000,5027000000,4665000000,4687000000,4665000000,4256000000,4121000000,4065000000,3809000000,3561000000,3732000000,3846000000,3966000000,3862000000,3698000000,3842000000,3822000000,3739000000,5000000,3652000000
otherNonOperatingIncome,-6000000,-4000000,3000000,9000000,1000000,-6000000,1000000,3000000,1000000,1000000,0,2000000,1000000,1000000,-54000000,1000000,0,0,1000000,-120000000
depreciation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
depreciationAndAmortization,503000000,508000000,482000000,510000000,517000000,500000000,472000000,436000000,419000000,414000000,402000000,395000000,404000000,409000000,366000000,370000000,376000000,384000000,347000000,342000000
incomeBeforeTax,828000000,776000000,670000000,642000000,705000000,456000000,545000000,547000000,516000000,395000000,435000000,531000000,615000000,496000000,462000000,659000000,598000000,609000000,512000000,584000000
incomeTaxExpense,189000000,189000000,157000000,136000000,167000000,105000000,124000000,109000000,126000000,88000000,74000000,84000000,120000000,115000000,115000000,128000000,99000000,110000000,116000000,-319000000
interestAndDebtExpense,None,None,None,388000000,0,220000000,0,474000000,52000000,None,None,485000000,1000000,84000000,0,None,None,None,None,None
netIncomeFromContinuingOperations,639000000,587000000,514000000,506000000,539000000,351000000,421000000,438000000,390000000,307000000,361000000,655000000,495000000,382000000,347000000,767000000,498000000,499000000,395000000,704000000
comprehensiveIncomeNetOfTax,564000000,555000000,511000000,511000000,480000000,373000000,430000000,493000000,415000000,357000000,278000000,472000000,484000000,412000000,381000000,460000000,532000000,478000000,365000000,897000000
ebit,942000000,890000000,768000000,718000000,806000000,791000000,650000000,654000000,680000000,527000000,573000000,655000000,734000000,696000000,621000000,767000000,699000000,715000000,608000000,704000000
ebitda,1422000000,1377000000,1237000000,1235000000,1309000000,1054000000,1114000000,1080000000,1032000000,928000000,949000000,1036000000,1124000000,1005000000,924000000,1126000000,1067000000,1086000000,950000000,1017000000
netIncome,639000000,587000000,513000000,506000000,538000000,351000000,421000000,438000000,390000000,307000000,361000000,447000000,495000000,381000000,347000000,531000000,499000000,499000000,396000000,903000000
