,2022-06-30,2021-06-30,2020-06-30,2019-06-30,2018-06-30
totalAssets,364840000000,333779000000,301311000000,286556000000,258848000000
totalCurrentAssets,169684000000,184406000000,181915000000,175552000000,169662000000
cashAndCashEquivalentsAtCarryingValue,13931000000,14224000000,13576000000,11356000000,11946000000
cashAndShortTermInvestments,104757000000,130334000000,136527000000,133819000000,133768000000
inventory,3742000000,2636000000,1895000000,2063000000,2662000000
currentNetReceivables,45261000000,39008000000,32011000000,29524000000,26481000000
totalNonCurrentAssets,198956000000,152773000000,122096000000,105825000000,84300000000
propertyPlantEquipment,74398000000,59715000000,44151000000,36477000000,29460000000
accumulatedDepreciationAmortizationPPE,59660000000,51351000000,43197000000,35330000000,29223000000
intangibleAssets,78822000000,57511000000,50389000000,49776000000,43736000000
intangibleAssetsExcludingGoodwill,11298000000,7800000000,7038000000,7750000000,8053000000
goodwill,67524000000,49711000000,43351000000,42026000000,35683000000
investments,95583000000,122266000000,130044000000,129789000000,129579000000
longTermInvestments,6891000000,5984000000,2965000000,2649000000,1862000000
shortTermInvestments,90826000000,116110000000,122951000000,122463000000,121822000000
otherCurrentAssets,16924000000,13393000000,11482000000,10146000000,6751000000
otherNonCurrentAssets,21897000000,15075000000,13138000000,14723000000,7442000000
totalLiabilities,198298000000,191791000000,183007000000,184226000000,176130000000
totalCurrentLiabilities,95082000000,88657000000,72310000000,69420000000,58488000000
currentAccountsPayable,19000000000,15163000000,12530000000,9382000000,8617000000
deferredRevenue,96816000000,88282000000,78360000000,74412000000,None
currentDebt,2749000000,8072000000,3749000000,5516000000,3998000000
shortTermDebt,2749000000,8072000000,3749000000,0,0
totalNonCurrentLiabilities,103216000000,103134000000,110697000000,108618000000,112074000000
capitalLeaseObligations,11489000000,9629000000,7671000000,6188000000,5568000000
longTermDebt,49781000000,58146000000,63327000000,72178000000,76200000000
currentLongTermDebt,2749000000,8072000000,3749000000,5516000000,3998000000
longTermDebtNoncurrent,47032000000,50074000000,59578000000,66662000000,72242000000
shortLongTermDebtTotal,49781000000,58146000000,63327000000,72200000000,76200000000
otherCurrentLiabilities,13067000000,11666000000,10027000000,9351000000,8744000000
otherNonCurrentLiabilities,15526000000,13427000000,10632000000,7581000000,5211000000
totalShareholderEquity,166542000000,141988000000,118304000000,102330000000,82718000000
treasuryStock,None,None,None,None,None
retainedEarnings,84281000000,57055000000,34566000000,24150000000,13682000000
commonStock,86939000000,83111000000,80552000000,78520000000,71223000000
commonStockSharesOutstanding,7464000000,7519000000,7571000000,7643000000,7677000000
