,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
totalAssets,62131000000,52148000000,34309000000,29740000000,28655372000
totalCurrentAssets,27100000000,26717000000,12103000000,8307000000,6570520000
cashAndCashEquivalentsAtCarryingValue,17576000000,19384000000,6268000000,3686000000,3368000000
cashAndShortTermInvestments,17707000000,19384000000,6268000000,3685618000,3367914000
inventory,5757000000,4101000000,3552000000,3113000000,2263537000
currentNetReceivables,1924000000,1895000000,1324000000,949022000,515381000
totalNonCurrentAssets,25281000000,18134000000,15251000000,13072152000,11620758000
propertyPlantEquipment,18884000000,12747000000,10396000000,11330000000,10027522000
accumulatedDepreciationAmortizationPPE,6731000000,5117000000,3734000000,2699000000,1723794000
intangibleAssets,457000000,520000000,537000000,350000000,421739000
intangibleAssetsExcludingGoodwill,257000000,313000000,339000000,282000000,361502000
goodwill,200000000,207000000,198000000,68000000,60237000
investments,131000000,None,None,None,None
longTermInvestments,None,None,1000000,421548000,456652000
shortTermInvestments,131000000,None,None,192551000,155323000
otherCurrentAssets,1723000000,1346000000,959000000,558222000,423688000
otherNonCurrentAssets,2138000000,1536000000,1470000000,572000000,273123000
totalLiabilities,30548000000,28418000000,26199000000,23427000000,23022980000
totalCurrentLiabilities,19705000000,14248000000,10667000000,9993000000,7674670000
currentAccountsPayable,10025000000,6051000000,3771000000,3405000000,2390250000
deferredRevenue,5881000000,4668000000,3842000000,2504000000,2193052000
currentDebt,1088000000,1758000000,1399000000,2222000000,799849000
shortTermDebt,587000000,1384000000,785000000,2711199000,3300000
totalNonCurrentLiabilities,8260000000,6962000000,6050000000,13164200000,13083289000
capitalLeaseObligations,991000000,1094000000,1232000000,1855900000,1801010000
longTermDebt,4254000000,8462000000,10402000000,8411000000,8828985000
currentLongTermDebt,1088000000,2132000000,228000000,2567699000,796549000
longTermDebtNoncurrent,None,None,None,None,None
shortLongTermDebtTotal,4841000000,9846000000,11187000000,8410490000,8832285000
otherCurrentLiabilities,310000000,264000000,260000000,372000000,130565000
otherNonCurrentLiabilities,3546000000,3330000000,2691000000,2710000000,2442970000
totalShareholderEquity,30189000000,22225000000,6618000000,4923000000,4237242000
treasuryStock,None,None,None,None,None
retainedEarnings,329000000,-5399000000,-6083000000,-5317832000,-4974299000
commonStock,3000000,1000000,1000000,0,169000
commonStockSharesOutstanding,1033000000,960000000,181000000,172603000,168797000
