,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
operatingCashflow,11497000000,5943000000,2405000000,2098000000,-61000000
paymentsForOperatingActivities,1532000000,1115000000,1009000000,443545000,248266000
proceedsFromOperatingActivities,None,None,None,None,None
changeInOperatingLiabilities,5847000000,2918000000,1592000000,2289477000,639372000
changeInOperatingAssets,-3401000000,1669000000,969000000,1602121000,275569000
depreciationDepletionAndAmortization,2381000000,2149000000,1901000000,1268730000,769300000
capitalExpenditures,7982000000,3167000000,1332000000,2100724000,3414814000
changeInReceivables,-130000000,652000000,367000000,496732000,24635000
changeInInventory,-1709000000,422000000,429000000,1023000000,179000000
profitLoss,5644000000,862000000,-775000000,-1063000000,-2241000000
cashflowFromInvestment,-7868000000,-3132000000,-1436000000,-2337000000,-4196000000
cashflowFromFinancing,-5203000000,9973000000,1529000000,574000000,4415000000
proceedsFromRepaymentsOfShortTermDebt,None,None,None,None,511321000
paymentsForRepurchaseOfCommonStock,None,None,None,None,None
paymentsForRepurchaseOfEquity,None,None,None,11000,230385000
paymentsForRepurchaseOfPreferredStock,None,None,None,None,None
dividendPayout,None,None,None,None,None
dividendPayoutCommonStock,None,None,None,None,None
dividendPayoutPreferredStock,None,None,None,None,None
proceedsFromIssuanceOfCommonStock,0,12269000000,848000000,None,400000000
proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,None,None,None,None,None
proceedsFromIssuanceOfPreferredStock,None,None,174000000,None,52883000
proceedsFromRepurchaseOfEquity,707000000,12686000000,1285000000,295711000,481789000
proceedsFromSaleOfTreasuryStock,None,None,None,None,None
changeInCashAndCashEquivalents,-1574000000,12784000000,2498000000,334129000,-25302000
changeInExchangeRate,None,None,None,None,39455000
netIncome,5519000000,721000000,-862000000,-976000000,-1962000000
