,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31
grossProfit,13606000000,6630000000,4069000000,4042000000,2223000000
totalRevenue,53823000000,31536000000,24578000000,21461000000,11759000000
costOfRevenue,40217000000,24906000000,20509000000,17419000000,9536000000
costofGoodsAndServicesSold,374000000,289000000,193000000,85272000,7797183000
operatingIncome,6523000000,1994000000,-69000000,-388000000,-1632000000
sellingGeneralAndAdministrative,4517000000,3145000000,2646000000,2835000000,2477000000
researchAndDevelopment,2593000000,1491000000,1343000000,1460000000,1378000000
operatingExpenses,7083000000,4636000000,4138000000,4430000000,3855000000
investmentIncomeNet,56000000,30000000,44000000,24533000,19686000
netInterestIncome,-371000000,-748000000,-685000000,-663071000,-471259000
interestIncome,56000000,30000000,44000000,-71000,-259000
interestExpense,371000000,748000000,685000000,663000000,471000000
nonInterestIncome,-55000000,-336000000,-98000000,22184879000,948469000
otherNonOperatingIncome,135000000,-122000000,45000000,22000000,-125000000
depreciation,1910000000,1570000000,1370000000,1110000000,769000000
depreciationAndAmortization,466000000,399000000,343000000,66000000,1636003000
incomeBeforeTax,6218000000,1013000000,-752000000,-918000000,-1930000000
incomeTaxExpense,699000000,292000000,110000000,58000000,32000000
interestAndDebtExpense,371000000,853000000,685000000,663071000,471259000
netIncomeFromContinuingOperations,5644000000,862000000,-775000000,-1062582000,-2240578000
comprehensiveIncomeNetOfTax,5210000000,1120000000,-890000000,-1018000000,-1905000000
ebit,6589000000,1761000000,-67000000,-255000000,-1459000000
ebitda,7055000000,2160000000,276000000,-189000000,177003000
netIncome,5519000000,721000000,-862000000,-976000000,-1962000000
