timestamp,AMKR_score,AMKRprice
2012-09-28,1,4.42
2012-12-31,1,4.24
2013-03-28,1,4.0
2013-06-28,1,4.21
2013-09-30,1,4.28
2013-12-31,2,6.13
2014-03-31,2,6.86
2014-06-30,1,11.18
2014-09-30,2,8.41
2014-12-31,1,7.1
2015-03-31,1,8.84
2015-06-30,1,5.98
2015-09-30,2,4.48
2015-12-31,1,6.08
2016-03-31,2,5.89
2016-06-30,2,5.75
2016-09-30,2,9.72
2016-12-30,2,10.55
2017-03-31,1,11.59
2017-06-30,2,9.77
2017-09-29,2,10.55
2017-12-29,2,10.05
2018-03-29,1,10.13
2018-06-29,2,8.59
2018-09-28,2,7.39
2018-12-31,2,6.56
2019-03-29,1,8.54
2019-06-28,1,7.46
2019-09-30,2,9.1
2019-12-31,2,13.0
2020-03-31,1,7.79
2020-06-30,1,12.31
2020-09-30,1,11.2
2020-12-31,1,15.08
2021-03-31,1,23.71
2021-06-30,1,23.67
2021-09-30,1,24.95
2021-12-31,1,24.79
2022-03-31,1,21.72
2022-06-30,1,16.95
2022-09-30,2,17.05
2022-12-30,1,23.98
