,SimFinId,Ticker,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Common Shares Outstanding
0,18,GOOG,2014-03-27,28.4,28.4,27.65,27.92,27.92,262000,,6721016620
1,18,GOOG,2014-03-28,28.06,28.32,27.93,28.0,28.0,822000,,6721016620
2,18,GOOG,2014-03-31,28.34,28.35,27.85,27.85,27.85,216000,,13489240000
3,18,GOOG,2014-04-01,27.94,28.42,27.94,28.36,28.36,158000,,13489240000
4,18,GOOG,2014-04-02,28.26,30.24,28.11,28.35,28.35,2934000,,13489240000
5,18,GOOG,2014-04-03,28.49,29.36,28.21,28.49,28.49,101704000,,13489240000
6,18,GOOG,2014-04-04,28.73,28.89,27.15,27.16,27.16,127038000,,13489240000
7,18,GOOG,2014-04-07,27.04,27.42,26.36,26.91,26.91,87792000,,13489240000
8,18,GOOG,2014-04-08,27.13,27.75,27.08,27.75,27.75,62852000,,13489240000
9,18,GOOG,2014-04-09,27.98,28.27,27.65,28.21,28.21,66434000,,13489240000
10,18,GOOG,2014-04-10,28.25,28.25,27.0,27.05,27.05,80516000,,13489240000
11,18,GOOG,2014-04-11,26.63,27.0,26.33,26.53,26.53,78282000,,13489240000
12,18,GOOG,2014-04-14,26.91,27.2,26.48,26.63,26.63,51360000,,13489240000
13,18,GOOG,2014-04-15,26.84,26.92,25.92,26.82,26.82,76890000,,13489240000
14,18,GOOG,2014-04-16,27.15,27.85,27.0,27.83,27.83,97598000,,13489877520
15,18,GOOG,2014-04-17,27.44,27.48,26.56,26.8,26.8,135818000,,13489877520
16,18,GOOG,2014-04-21,26.8,26.84,26.28,26.43,26.43,51194000,,13489877520
17,18,GOOG,2014-04-22,26.43,26.86,26.38,26.74,26.74,47178000,,13489877520
18,18,GOOG,2014-04-23,26.69,26.69,26.31,26.35,26.35,40934000,,13489877520
19,18,GOOG,2014-04-24,26.5,26.58,26.11,26.26,26.26,37560000,,13489877520
20,18,GOOG,2014-04-25,26.13,26.23,25.77,25.81,25.81,41892000,,13489877520
21,18,GOOG,2014-04-28,25.86,25.93,25.14,25.86,25.86,66528000,,13489877520
22,18,GOOG,2014-04-29,25.84,26.47,25.82,26.39,26.39,53834000,,13489877520
23,18,GOOG,2014-04-30,26.38,26.4,26.13,26.33,26.33,34928000,,13489877520
24,18,GOOG,2014-05-01,26.36,26.65,26.19,26.57,26.57,38006000,,13489877520
25,18,GOOG,2014-05-02,26.69,26.7,26.28,26.4,26.4,33678000,,13489877520
26,18,GOOG,2014-05-05,26.24,26.45,26.07,26.39,26.39,20426000,,13489877520
27,18,GOOG,2014-05-06,26.26,26.34,25.75,25.76,25.76,33688000,,13489877520
28,18,GOOG,2014-05-07,25.79,25.83,25.16,25.5,25.5,64310000,,13489877520
29,18,GOOG,2014-05-08,25.42,25.86,25.32,25.55,25.55,40316000,,13489877520
30,18,GOOG,2014-05-09,25.54,26.0,25.21,25.94,25.94,48656000,,13489877520
31,18,GOOG,2014-05-12,26.18,26.51,25.95,26.5,26.5,38146000,,13489877520
32,18,GOOG,2014-05-13,26.54,26.8,26.48,26.65,26.65,32978000,,13489877520
33,18,GOOG,2014-05-14,26.65,26.65,26.26,26.33,26.33,23770000,,13489877520
34,18,GOOG,2014-05-15,26.29,26.29,25.87,26.0,26.0,33994000,,13489877520
35,18,GOOG,2014-05-16,26.07,26.09,25.77,26.03,26.03,29624000,,13489877520
36,18,GOOG,2014-05-19,25.98,26.49,25.88,26.44,26.44,25486000,,13489877520
37,18,GOOG,2014-05-20,26.49,26.81,26.32,26.49,26.49,35598000,,13489877520
38,18,GOOG,2014-05-21,26.64,26.96,26.6,26.95,26.95,23860000,,13489877520
39,18,GOOG,2014-05-22,27.06,27.38,27.04,27.25,27.25,32228000,,13489877520
40,18,GOOG,2014-05-23,27.36,27.68,27.18,27.64,27.64,38538000,,13489877520
41,18,GOOG,2014-05-27,27.8,28.3,27.72,28.3,28.3,41968000,,13489877520
42,18,GOOG,2014-05-28,28.23,28.39,28.05,28.08,28.08,32950000,,13489877520
43,18,GOOG,2014-05-29,28.17,28.2,27.94,28.0,28.0,27008000,,13489877520
44,18,GOOG,2014-05-30,28.04,28.07,27.8,27.99,27.99,35326000,,13489877520
45,18,GOOG,2014-06-02,28.04,28.05,27.29,27.7,27.7,28622000,,13489877520
46,18,GOOG,2014-06-03,27.55,27.62,27.13,27.25,27.25,37230000,,13489877520
47,18,GOOG,2014-06-04,27.07,27.43,26.94,27.23,27.23,36230000,,13489877520
48,18,GOOG,2014-06-05,27.32,27.75,27.22,27.7,27.7,33690000,,13489877520
49,18,GOOG,2014-06-06,27.9,27.9,27.45,27.82,27.82,34640000,,13489877520
50,18,GOOG,2014-06-09,27.86,28.14,27.8,28.11,28.11,29270000,,13489877520
51,18,GOOG,2014-06-10,28.03,28.18,27.89,28.03,28.03,26960000,,13489877520
52,18,GOOG,2014-06-11,27.9,27.99,27.75,27.94,27.94,21942000,,13489877520
53,18,GOOG,2014-06-12,27.86,27.9,27.42,27.57,27.57,29090000,,13489877520
54,18,GOOG,2014-06-13,27.61,27.61,27.28,27.59,27.59,24344000,,13489877520
55,18,GOOG,2014-06-16,27.46,27.48,27.08,27.21,27.21,33958000,,13489877520
56,18,GOOG,2014-06-17,27.21,27.27,26.97,27.15,27.15,28812000,,13489877520
57,18,GOOG,2014-06-18,27.24,27.68,27.2,27.67,27.67,34740000,,13489877520
58,18,GOOG,2014-06-19,27.71,27.75,27.43,27.75,27.75,49002000,,13489877520
59,18,GOOG,2014-06-20,27.84,27.88,27.52,27.82,27.82,89920000,,13489877520
60,18,GOOG,2014-06-23,27.76,28.25,27.71,28.25,28.25,30652000,,13489877520
61,18,GOOG,2014-06-24,28.26,28.63,28.05,28.23,28.23,44022000,,13489877520
62,18,GOOG,2014-06-25,28.26,29.0,28.26,28.93,28.93,39280000,,13489877520
63,18,GOOG,2014-06-26,29.05,29.12,28.59,28.8,28.8,34744000,,13489877520
64,18,GOOG,2014-06-27,28.86,28.99,28.69,28.86,28.86,44616000,,13489877520
65,18,GOOG,2014-06-30,28.93,28.98,28.74,28.76,28.76,26204000,,6758780000
