,Symbol,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2011-09-30,2011-12-31
Close,FRT,96.79,104.09,105.3,104.02,108.04,103.68,101.45,101.41,114.72,120.92,118.46,133.46,147.21,128.09,136.45,146.1,156.05,165.55,153.93,142.11,133.5,126.39,124.21,132.81,116.11,126.55,126.47,118.04,137.85,128.76,136.14,128.73,74.61,85.21,73.44,85.12,101.45,117.17,117.99,136.32,122.07,95.74,90.12,101.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,FRT,63544150.0,63914475.0,64111975.0,64815446.0,64815446.0,65243839.0,66036174.0,66701422.0,67267030.0,67712366.0,68128519.0,68605783.0,68677816.0,69120797.0,69448874.0,69493392.0,70861269.0,71417253.0,71782989.0,71786500.0,72236981.0,72251477.0,72255197.0,72546870.0,73192726.0,73221384.0,73491303.0,74249633.0,74365801.0,74905997.0,75494931.0,75540804.0,75622504.0,75633140.0,75641074.0,76727394.0,77706466.0,405896.0,77774645.0,77485000.0,77536000.0,77536000.0,77536000.0,77536000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,FRT,1748881000.0,1738529000.0,1807099000.0,1837334000.0,1824613000.0,1938317000.0,1934693000.0,1949369000.0,2019362000.0,1995327000.0,1991727000.0,2047511000.0,2274516000.0,2070961000.0,2170991000.0,2213635000.0,2246090000.0,2209766000.0,2449478000.0,2447711000.0,2445476000.0,2792099000.0,2871179000.0,2892945000.0,2881471000.0,2880557000.0,2879622000.0,2878658000.0,2857453000.0,3153620000.0,3273022000.0,3352813000.0,3360661000.0,4059495000.0,4058269000.0,484111000.0,466950000.0,466026000.0,457203000.0,641459000.0,339236000.0,321975000.0,889601000.0,921692000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,FRT,71708000.0,71703000.0,71698000.0,71693000.0,71687000.0,71682000.0,71677000.0,71671000.0,71665000.0,71659000.0,71653000.0,71647000.0,71640000.0,71633000.0,71627000.0,71620000.0,71612000.0,71605000.0,71597000.0,71590000.0,71582000.0,71573000.0,71565000.0,71556000.0,71547000.0,71538000.0,71529000.0,71519000.0,0.0,0.0,0.0,,,,,3404488000.0,3404879000.0,3405282000.0,3405685000.0,3406088000.0,3406491000.0,3406895000.0,3407298000.0,3407701000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,FRT,69182000.0,82774000.0,147680000.0,36988000.0,31274000.0,108366000.0,127831000.0,88927000.0,75699000.0,41312000.0,23917000.0,47951000.0,171437000.0,22175000.0,12864000.0,21046000.0,19716000.0,18622000.0,101281000.0,23368000.0,20112000.0,96326000.0,22850000.0,15188000.0,64407000.0,56116000.0,41872000.0,64087000.0,43003000.0,105903000.0,162543000.0,127432000.0,994688000.0,980039000.0,863279000.0,798329000.0,779901000.0,304268000.0,177591000.0,162132000.0,157944000.0,176559000.0,146214000.0,85558000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,FRT,3668848000.0,3680929000.0,3804339000.0,3898565000.0,3905932000.0,4085203000.0,4159476000.0,4219294000.0,4405647000.0,4431485000.0,4479398000.0,4546870000.0,4780750000.0,4733838000.0,4783803000.0,4896559000.0,5125457000.0,5188468000.0,5397337000.0,5423279000.0,5656200000.0,5803503000.0,6221137000.0,6275755000.0,6293625000.0,6302703000.0,6285664000.0,6289644000.0,6351366000.0,6383741000.0,6607565000.0,6794992000.0,7759914000.0,7789930000.0,7711293000.0,7607624000.0,7669601000.0,7678876000.0,7634442000.0,7622320000.0,7668375000.0,7810441000.0,8217007000.0,8233991000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,FRT,2320310000.0,2332613000.0,2410566000.0,2493552000.0,2478153000.0,2607266000.0,2634546000.0,2643572000.0,2721011000.0,2702741000.0,2706934000.0,2735261000.0,2969679000.0,2871912000.0,2885056000.0,2977312000.0,3030284000.0,3039380000.0,3200261000.0,3203750000.0,3438395000.0,3564781000.0,3735531000.0,3743084000.0,3778974000.0,3773694000.0,3710777000.0,3686106000.0,3715095000.0,3738385000.0,3912162000.0,4019102000.0,5000772000.0,5099246000.0,5133488000.0,4921157000.0,4926459000.0,4890414000.0,4875310000.0,4745464000.0,4739755000.0,4724702000.0,5049368000.0,5021606000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,FRT,146289000.0,147560000.0,156157000.0,155785000.0,157149000.0,157388000.0,159030000.0,163846000.0,170828000.0,167947000.0,170938000.0,176377000.0,184792000.0,181461000.0,185252000.0,192507000.0,198344000.0,197981000.0,201157000.0,204109000.0,207389000.0,208049000.0,217953000.0,223957000.0,225405000.0,224902000.0,229753000.0,235376000.0,232227000.0,230465000.0,233947000.0,239149000.0,231557000.0,176227000.0,208197000.0,219513000.0,218161000.0,231625000.0,247284000.0,254154000.0,256771000.0,264099000.0,273451000.0,280057000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,FRT,-26110000.0,-26906000.0,-29593000.0,-30007000.0,-29501000.0,-28209000.0,-29045000.0,-31940000.0,-37130000.0,-31405000.0,-31908000.0,-34974000.0,-41439000.0,-32623000.0,-34439000.0,-39092000.0,-42819000.0,-36978000.0,-38588000.0,-39941000.0,-41109000.0,-37128000.0,-41250000.0,-45403000.0,-44773000.0,-39905000.0,-41909000.0,-46507000.0,-44260000.0,-41438000.0,-54484000.0,-47649000.0,-44312000.0,-36417000.0,-41832000.0,-48359000.0,-49238000.0,-42918000.0,-78847000.0,-27118000.0,-56211000.0,-51169000.0,-91612000.0,-29966000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,FRT,-59632000.0,-58875000.0,-60518000.0,-60288000.0,-65146000.0,-65691000.0,-65284000.0,-68436000.0,-70254000.0,-68181000.0,-71408000.0,-69793000.0,-71231000.0,-72637000.0,-74896000.0,-77501000.0,-78603000.0,-80868000.0,-82108000.0,-80691000.0,-84736000.0,-87831000.0,-92206000.0,-95397000.0,-94487000.0,-95101000.0,-97502000.0,-105531000.0,-96874000.0,-95645000.0,-99738000.0,-101182000.0,-101503000.0,-103197000.0,-105459000.0,-105790000.0,-103552000.0,-109844000.0,-82864000.0,-152068000.0,-114576000.0,-119330000.0,-90209000.0,-158754000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
